DFHG urns, CITE urns
urn:lofts:fhg.cadmus_milesius:,urn:cite:lofts:fhg.cadmus_milesius:
urn:lofts:fhg.dionysius_milesius.dionysii_milesii_fragmenta:1,urn:cite:lofts:fhg.dionysius_milesius:1
urn:lofts:fhg.dionysius_milesius.dionysii_milesii_fragmenta:2,urn:cite:lofts:fhg.dionysius_milesius:2
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.liber_primus:1,urn:cite:lofts:fhg.dionysius_mytilenaeus:1
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.liber_primus:1,urn:cite:lofts:fhg.dionysius_mytilenaeus:1
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.liber_primus:2,urn:cite:lofts:fhg.dionysius_mytilenaeus:2
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.liber_primus:3,urn:cite:lofts:fhg.dionysius_mytilenaeus:3
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.liber_primus:4,urn:cite:lofts:fhg.dionysius_mytilenaeus:4
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.e_libro_secundo:5,urn:cite:lofts:fhg.dionysius_mytilenaeus:5
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.e_libro_secundo:5,urn:cite:lofts:fhg.dionysius_mytilenaeus:5
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.e_libro_secundo:5,urn:cite:lofts:fhg.dionysius_mytilenaeus:5
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.e_libro_secundo:6,urn:cite:lofts:fhg.dionysius_mytilenaeus:6
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.e_libro_secundo:6,urn:cite:lofts:fhg.dionysius_mytilenaeus:6
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.e_libro_secundo:7,urn:cite:lofts:fhg.dionysius_mytilenaeus:7
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.e_libro_secundo:8,urn:cite:lofts:fhg.dionysius_mytilenaeus:8
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.e_libro_secundo:9,urn:cite:lofts:fhg.dionysius_mytilenaeus:9
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.e_libro_secundo:10,urn:cite:lofts:fhg.dionysius_mytilenaeus:10
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.e_libro_secundo:10,urn:cite:lofts:fhg.dionysius_mytilenaeus:10
urn:lofts:fhg.dionysius_mytilenaeus.dionysii_mytilenaei_fragmenta.argonautica.e_libro_secundo:11,urn:cite:lofts:fhg.dionysius_mytilenaeus:11
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.cyclus_historicus.e_libro_primo:1,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:1
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.cyclus_historicus.e_libro_primo:2,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:2
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.cyclus_historicus.e_libro_primo:3,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:3
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.cyclus_historicus.e_libro_primo:4,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:4
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.cyclus_historicus.ε_libro_quinto:5,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:5
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.cyclus_historicus.ε_libro_quinto:6,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:6
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.cyclus_historicus.e_libro_sexto:7,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:7
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.cyclus_historicus.e_libro_sexto:7,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:7
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.cyclus_historicus.e_libro_sexto:8,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:8
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.cyclus_historicus.e_libro_sexto:9,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:9
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.cyclus_historicus.e_libro_sexto:10,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:10
urn:lofts:fhg.dionysius_rhodius_sive_samius.dionysii_rhodii_fragmenta.de_diis:11,urn:cite:lofts:fhg.dionysius_rhodius_sive_samius:11
urn:lofts:fhg.hippys_rheginus.hippys_rhegini_fragmenta.chronica:1,urn:cite:lofts:fhg.hippys_rheginus:1
urn:lofts:fhg.hippys_rheginus.hippys_rhegini_fragmenta.chronica:2,urn:cite:lofts:fhg.hippys_rheginus:2
urn:lofts:fhg.hippys_rheginus.hippys_rhegini_fragmenta.chronica:3,urn:cite:lofts:fhg.hippys_rheginus:3
urn:lofts:fhg.hippys_rheginus.hippys_rhegini_fragmenta.chronica:3,urn:cite:lofts:fhg.hippys_rheginus:3
urn:lofts:fhg.hippys_rheginus.hippys_rhegini_fragmenta.chronica:4,urn:cite:lofts:fhg.hippys_rheginus:4
urn:lofts:fhg.hippys_rheginus.hippys_rhegini_fragmenta.chronica:5,urn:cite:lofts:fhg.hippys_rheginus:5
urn:lofts:fhg.hippys_rheginus.hippys_rhegini_fragmenta.chronica:6,urn:cite:lofts:fhg.hippys_rheginus:6
urn:lofts:fhg.hippys_rheginus.hippys_rhegini_fragmenta.sicula:7,urn:cite:lofts:fhg.hippys_rheginus:7
urn:lofts:fhg.hippys_rheginus.hippys_rhegini_fragmenta.argolica:8,urn:cite:lofts:fhg.hippys_rheginus:8
urn:lofts:fhg.eugeon_samius.eugeonis_samii_fragmenta.annales_samiorum:1,urn:cite:lofts:fhg.eugeon_samius:1
urn:lofts:fhg.eugeon_samius.eugeonis_samii_fragmenta.annales_samiorum:2,urn:cite:lofts:fhg.eugeon_samius:2
urn:lofts:fhg.eugeon_samius.eugeonis_samii_fragmenta.annales_samiorum:3,urn:cite:lofts:fhg.eugeon_samius:3
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_primo:1,urn:cite:lofts:fhg.deiochus_proconnesius:1
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_primo:2,urn:cite:lofts:fhg.deiochus_proconnesius:2
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_primo:3,urn:cite:lofts:fhg.deiochus_proconnesius:3
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_primo:4,urn:cite:lofts:fhg.deiochus_proconnesius:4
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_primo:5,urn:cite:lofts:fhg.deiochus_proconnesius:5
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_primo:5,urn:cite:lofts:fhg.deiochus_proconnesius:5
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_primo:6,urn:cite:lofts:fhg.deiochus_proconnesius:6
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_primo:7,urn:cite:lofts:fhg.deiochus_proconnesius:7
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_primo:8,urn:cite:lofts:fhg.deiochus_proconnesius:8
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_primo:8,urn:cite:lofts:fhg.deiochus_proconnesius:8
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_primo:9,urn:cite:lofts:fhg.deiochus_proconnesius:9
urn:lofts:fhg.deiochus_proconnesius.deiochi_proconnesii_fragmenta.de_cyzico.ex_libro_incerto:10,urn:cite:lofts:fhg.deiochus_proconnesius:10
urn:lofts:fhg.bion_proconnesius.bionis_proconnesii_fragmenta:1,urn:cite:lofts:fhg.bion_proconnesius:1
urn:lofts:fhg.bion_proconnesius.bionis_proconnesii_fragmenta:2,urn:cite:lofts:fhg.bion_proconnesius:2
urn:lofts:fhg.eudemus_parius:,urn:cite:lofts:fhg.eudemus_parius:
urn:lofts:fhg.democles_pygelensis.democlis_pygelensis_fragmenta:1,urn:cite:lofts:fhg.democles_pygelensis:1
urn:lofts:fhg.democles_pygelensis.democlis_pygelensis_fragmenta:2,urn:cite:lofts:fhg.democles_pygelensis:2
urn:lofts:fhg.amelesagoras_chalcedonius.amelesagorae_chalcedonii_fragmenta.atthis:1,urn:cite:lofts:fhg.amelesagoras_chalcedonius:1
urn:lofts:fhg.amelesagoras_chalcedonius.amelesagorae_chalcedonii_fragmenta.atthis:2,urn:cite:lofts:fhg.amelesagoras_chalcedonius:2
urn:lofts:fhg.amelesagoras_chalcedonius.amelesagorae_chalcedonii_fragmenta.atthis:3,urn:cite:lofts:fhg.amelesagoras_chalcedonius:3
urn:lofts:fhg.glaucus_rheginus.glauci_rhegini_fragmenta.de_poetis_et_musicis:1,urn:cite:lofts:fhg.glaucus_rheginus:1
urn:lofts:fhg.glaucus_rheginus.glauci_rhegini_fragmenta.de_poetis_et_musicis:2,urn:cite:lofts:fhg.glaucus_rheginus:2
urn:lofts:fhg.glaucus_rheginus.glauci_rhegini_fragmenta.de_poetis_et_musicis:3,urn:cite:lofts:fhg.glaucus_rheginus:3
urn:lofts:fhg.glaucus_rheginus.glauci_rhegini_fragmenta.de_poetis_et_musicis:4,urn:cite:lofts:fhg.glaucus_rheginus:4
urn:lofts:fhg.glaucus_rheginus.glauci_rhegini_fragmenta.de_poetis_et_musicis:5,urn:cite:lofts:fhg.glaucus_rheginus:5
urn:lofts:fhg.glaucus_rheginus.glauci_rhegini_fragmenta.de_poetis_et_musicis:6,urn:cite:lofts:fhg.glaucus_rheginus:6
urn:lofts:fhg.democritus_abderita:,urn:cite:lofts:fhg.democritus_abderita:
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:1,urn:cite:lofts:fhg.herodorus_heracleensis:1
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:2,urn:cite:lofts:fhg.herodorus_heracleensis:2
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:3,urn:cite:lofts:fhg.herodorus_heracleensis:3
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:4,urn:cite:lofts:fhg.herodorus_heracleensis:4
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:5,urn:cite:lofts:fhg.herodorus_heracleensis:5
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:5,urn:cite:lofts:fhg.herodorus_heracleensis:5
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:5,urn:cite:lofts:fhg.herodorus_heracleensis:5
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:6,urn:cite:lofts:fhg.herodorus_heracleensis:6
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:7,urn:cite:lofts:fhg.herodorus_heracleensis:7
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:8,urn:cite:lofts:fhg.herodorus_heracleensis:8
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:9,urn:cite:lofts:fhg.herodorus_heracleensis:9
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:10,urn:cite:lofts:fhg.herodorus_heracleensis:10
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:10,urn:cite:lofts:fhg.herodorus_heracleensis:10
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:10,urn:cite:lofts:fhg.herodorus_heracleensis:10
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:11,urn:cite:lofts:fhg.herodorus_heracleensis:11
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:12,urn:cite:lofts:fhg.herodorus_heracleensis:12
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:13,urn:cite:lofts:fhg.herodorus_heracleensis:13
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:14,urn:cite:lofts:fhg.herodorus_heracleensis:14
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:15,urn:cite:lofts:fhg.herodorus_heracleensis:15
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:16,urn:cite:lofts:fhg.herodorus_heracleensis:16
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:16,urn:cite:lofts:fhg.herodorus_heracleensis:16
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:16,urn:cite:lofts:fhg.herodorus_heracleensis:16
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:17,urn:cite:lofts:fhg.herodorus_heracleensis:17
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:18,urn:cite:lofts:fhg.herodorus_heracleensis:18
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis:19,urn:cite:lofts:fhg.herodorus_heracleensis:19
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:20,urn:cite:lofts:fhg.herodorus_heracleensis:20
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:21,urn:cite:lofts:fhg.herodorus_heracleensis:21
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:22,urn:cite:lofts:fhg.herodorus_heracleensis:22
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:23,urn:cite:lofts:fhg.herodorus_heracleensis:23
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:24,urn:cite:lofts:fhg.herodorus_heracleensis:24
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:25,urn:cite:lofts:fhg.herodorus_heracleensis:25
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:26,urn:cite:lofts:fhg.herodorus_heracleensis:26
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:27,urn:cite:lofts:fhg.herodorus_heracleensis:27
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:27,urn:cite:lofts:fhg.herodorus_heracleensis:27
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:28,urn:cite:lofts:fhg.herodorus_heracleensis:28
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:29,urn:cite:lofts:fhg.herodorus_heracleensis:29
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_decimo:30,urn:cite:lofts:fhg.herodorus_heracleensis:30
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_xvii:31,urn:cite:lofts:fhg.herodorus_heracleensis:31
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_xvii:32,urn:cite:lofts:fhg.herodorus_heracleensis:32
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_xvii:33,urn:cite:lofts:fhg.herodorus_heracleensis:33
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.de_rebus_herculis.e_libro_xvii:34,urn:cite:lofts:fhg.herodorus_heracleensis:34
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.argonautica:35,urn:cite:lofts:fhg.herodorus_heracleensis:35
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.argonautica:36,urn:cite:lofts:fhg.herodorus_heracleensis:36
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.argonautica:37,urn:cite:lofts:fhg.herodorus_heracleensis:37
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.argonautica:38,urn:cite:lofts:fhg.herodorus_heracleensis:38
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.argonautica:39,urn:cite:lofts:fhg.herodorus_heracleensis:39
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.argonautica:40,urn:cite:lofts:fhg.herodorus_heracleensis:40
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.argonautica:41,urn:cite:lofts:fhg.herodorus_heracleensis:41
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.argonautica:42,urn:cite:lofts:fhg.herodorus_heracleensis:42
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.argonautica:43,urn:cite:lofts:fhg.herodorus_heracleensis:43
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.argonautica:44,urn:cite:lofts:fhg.herodorus_heracleensis:44
urn:lofts:fhg.herodorus_heracleensis.herodori_heracleensis_fragmenta.argonautica:45,urn:cite:lofts:fhg.herodorus_heracleensis:45
